arrival_time,day,hour,minute,time_bin_15m,dock,sku,batch,week
89106,2,0,45,99,3,59,3,1
89114,2,0,45,99,4,18,1,1
89128,2,0,45,99,1,20,2,1
89160,2,0,46,99,2,68,4,1
89172,2,0,46,99,3,59,3,1
89216,2,0,46,99,1,20,2,1
89229,2,0,47,99,2,68,4,1
89232,2,0,47,99,4,18,1,1
89238,2,0,47,99,3,59,3,1
89298,2,0,48,99,2,68,4,1
89304,2,0,48,99,1,20,2,1
89304,2,0,48,99,3,59,3,1
89350,2,0,49,99,4,18,1,1
89367,2,0,49,99,2,68,4,1
89370,2,0,49,99,3,59,3,1
89392,2,0,49,99,1,20,2,1
89436,2,0,50,99,2,68,4,1
89436,2,0,50,99,3,59,3,1
89468,2,0,51,99,4,18,1,1
89480,2,0,51,99,1,20,2,1
89502,2,0,51,99,3,59,3,1
89505,2,0,51,99,2,68,4,1
89568,2,0,52,99,1,20,2,1
89568,2,0,52,99,3,59,3,1
89574,2,0,52,99,2,68,4,1
89586,2,0,53,99,4,18,1,1
89634,2,0,53,99,3,59,3,1
89643,2,0,54,99,2,68,4,1
89656,2,0,54,99,1,20,2,1
89700,2,0,55,99,3,59,3,1
89704,2,0,55,99,4,18,1,1
89712,2,0,55,99,2,68,4,1
89744,2,0,55,99,1,20,2,1
89766,2,0,56,99,3,59,3,1
89781,2,0,56,99,2,68,4,1
89822,2,0,57,99,4,18,1,1
89832,2,0,57,99,1,20,2,1
89832,2,0,57,99,3,59,3,1
89850,2,0,57,99,2,68,4,1
89898,2,0,58,99,3,59,3,1
89919,2,0,58,99,2,68,4,1
89920,2,0,58,99,1,20,2,1
89940,2,0,59,99,4,18,1,1
89964,2,0,59,99,3,59,3,1
89988,2,0,59,99,2,68,4,1
90008,2,1,0,100,1,20,2,1
90030,2,1,0,100,3,59,3,1
90057,2,1,0,100,2,68,4,1
90058,2,1,0,100,4,18,1,1
90096,2,1,1,100,1,20,2,1
90096,2,1,1,100,3,59,3,1
90126,2,1,2,100,2,68,4,1
90162,2,1,2,100,3,59,3,1
90176,2,1,2,100,4,18,1,1
90184,2,1,3,100,1,20,2,1
90195,2,1,3,100,2,68,4,1
90228,2,1,3,100,3,59,3,1
90264,2,1,4,100,2,68,4,1
90272,2,1,4,100,1,20,2,1
90294,2,1,4,100,3,59,3,1
90294,2,1,4,100,4,18,1,1
90333,2,1,5,100,2,68,4,1
90360,2,1,6,100,1,20,2,1
90360,2,1,6,100,3,59,3,1
90402,2,1,6,100,2,68,4,1
90412,2,1,6,100,4,18,1,1
90426,2,1,7,100,3,59,3,1
90448,2,1,7,100,1,20,2,1
90471,2,1,7,100,2,68,4,1
90492,2,1,8,100,3,59,3,1
90530,2,1,8,100,4,18,1,1
90536,2,1,8,100,1,20,2,1
90540,2,1,9,100,2,68,4,1
90558,2,1,9,100,3,59,3,1
90609,2,1,10,100,2,68,4,1
90624,2,1,10,100,1,20,2,1
90624,2,1,10,100,3,59,3,1
90648,2,1,10,100,4,18,1,1
90678,2,1,11,100,2,68,4,1
90690,2,1,11,100,3,59,3,1
90712,2,1,11,100,1,20,2,1
90747,2,1,12,100,2,68,4,1
90756,2,1,12,100,3,59,3,1
90766,2,1,12,100,4,18,1,1
90800,2,1,13,100,1,20,2,1
90816,2,1,13,100,2,68,4,1
90822,2,1,13,100,3,59,3,1
90884,2,1,14,100,4,18,1,1
90885,2,1,14,100,2,68,4,1
90888,2,1,14,100,1,20,2,1
90888,2,1,14,100,3,59,3,1
90954,2,1,15,101,2,68,4,1
90954,2,1,15,101,3,59,3,1
90976,2,1,16,101,1,20,2,1
91002,2,1,16,101,4,18,1,1
91020,2,1,17,101,3,59,3,1
91023,2,1,17,101,2,68,4,1
91064,2,1,17,101,1,20,2,1
91086,2,1,18,101,3,59,3,1
91092,2,1,18,101,2,68,4,1
91120,2,1,18,101,4,18,1,1
91152,2,1,19,101,1,20,2,1
91152,2,1,19,101,3,59,3,1
91161,2,1,19,101,2,68,4,1
91218,2,1,20,101,3,59,3,1
91230,2,1,20,101,2,68,4,1
91238,2,1,20,101,4,18,1,1
91240,2,1,20,101,1,20,2,1
91284,2,1,21,101,3,59,3,1
91299,2,1,21,101,2,68,4,1
91328,2,1,22,101,1,20,2,1
91350,2,1,22,101,3,59,3,1
91356,2,1,22,101,4,18,1,1
91368,2,1,22,101,2,68,4,1
91416,2,1,23,101,1,20,2,1
91416,2,1,23,101,3,59,3,1
91437,2,1,23,101,2,68,4,1
91474,2,1,24,101,4,18,1,1
91482,2,1,24,101,3,59,3,1
91504,2,1,25,101,1,20,2,1
91506,2,1,25,101,2,68,4,1
91548,2,1,25,101,3,59,3,1
91575,2,1,26,101,2,68,4,1
91592,2,1,26,101,1,20,2,1
91592,2,1,26,101,4,18,1,1
91614,2,1,26,101,3,59,3,1
91644,2,1,27,101,2,68,4,1
91680,2,1,28,101,1,20,2,1
91680,2,1,28,101,3,59,3,1
91710,2,1,28,101,4,18,1,1
91713,2,1,28,101,2,68,4,1
91746,2,1,29,101,3,59,3,1
91768,2,1,29,101,1,20,2,1
91782,2,1,29,101,2,68,4,1
91812,2,1,30,102,3,59,3,1
91828,2,1,30,102,4,18,1,1
91851,2,1,30,102,2,68,4,1
91856,2,1,30,102,1,20,2,1
91878,2,1,31,102,3,59,3,1
91920,2,1,32,102,2,68,4,1
91944,2,1,32,102,1,20,2,1
91944,2,1,32,102,3,59,3,1
91946,2,1,32,102,4,18,1,1
91989,2,1,33,102,2,68,4,1
92010,2,1,33,102,3,59,3,1
92032,2,1,33,102,1,20,2,1
92058,2,1,34,102,2,68,4,1
92064,2,1,34,102,4,18,1,1
92076,2,1,34,102,3,59,3,1
92120,2,1,35,102,1,20,2,1
92127,2,1,35,102,2,68,4,1
92142,2,1,35,102,3,59,3,1
92182,2,1,36,102,4,18,1,1
92196,2,1,36,102,2,68,4,1
92208,2,1,36,102,1,20,2,1
92208,2,1,36,102,3,59,3,1
92265,2,1,37,102,2,68,4,1
92274,2,1,37,102,3,59,3,1
92296,2,1,38,102,1,20,2,1
92300,2,1,38,102,4,18,1,1
92334,2,1,38,102,2,68,4,1
92340,2,1,39,102,3,59,3,1
92384,2,1,39,102,1,20,2,1
92403,2,1,40,102,2,68,4,1
92406,2,1,40,102,3,59,3,1
92418,2,1,40,102,4,18,1,1
92472,2,1,41,102,1,20,2,1
92472,2,1,41,102,2,68,4,1
92472,2,1,41,102,3,59,3,1
92536,2,1,42,102,4,18,1,1
92538,2,1,42,102,3,59,3,1
92541,2,1,42,102,2,68,4,1
92560,2,1,42,102,1,20,2,1
92604,2,1,43,102,3,59,3,1
92610,2,1,43,102,2,68,4,1
92648,2,1,44,102,1,20,2,1
92654,2,1,44,102,4,18,1,1
92670,2,1,44,102,3,59,3,1
92679,2,1,44,102,2,68,4,1
92736,2,1,45,103,1,20,2,1
92736,2,1,45,103,3,59,3,1
92748,2,1,45,103,2,68,4,1
92772,2,1,46,103,4,18,1,1
92802,2,1,46,103,3,59,3,1
92817,2,1,46,103,2,68,4,1
92824,2,1,47,103,1,20,2,1
92868,2,1,47,103,3,59,3,1
92886,2,1,48,103,2,68,4,1
92890,2,1,48,103,4,18,1,1
92912,2,1,48,103,1,20,2,1
92934,2,1,48,103,3,59,3,1
92955,2,1,49,103,2,68,4,1
93000,2,1,50,103,1,20,2,1
93000,2,1,50,103,3,59,3,1
93008,2,1,50,103,4,18,1,1
93024,2,1,50,103,2,68,4,1
93066,2,1,51,103,3,59,3,1
93088,2,1,51,103,1,20,2,1
93093,2,1,51,103,2,68,4,1
93126,2,1,52,103,4,18,1,1
93132,2,1,52,103,3,59,3,1
93162,2,1,52,103,2,68,4,1
93176,2,1,52,103,1,20,2,1
93198,2,1,53,103,3,59,3,1
93231,2,1,53,103,2,68,4,1
93244,2,1,54,103,4,18,1,1
93264,2,1,54,103,1,20,2,1
93264,2,1,54,103,3,59,3,1
93300,2,1,55,103,2,68,4,1
93330,2,1,55,103,3,59,3,1
93352,2,1,55,103,1,20,2,1
93362,2,1,56,103,4,18,1,1
93369,2,1,56,103,2,68,4,1
93396,2,1,56,103,3,59,3,1
93438,2,1,57,103,2,68,4,1
93440,2,1,57,103,1,20,2,1
93462,2,1,57,103,3,59,3,1
93480,2,1,58,103,4,18,1,1
93507,2,1,58,103,2,68,4,1
93528,2,1,58,103,1,20,2,1
93528,2,1,58,103,3,59,3,1
93576,2,1,59,103,2,68,4,1
93594,2,1,59,103,3,59,3,1
93598,2,1,59,103,4,18,1,1
93616,2,2,0,104,1,20,2,1
93645,2,2,0,104,2,68,4,1
93660,2,2,1,104,3,59,3,1
93704,2,2,1,104,1,20,2,1
93714,2,2,1,104,2,68,4,1
93716,2,2,1,104,4,18,1,1
93726,2,2,2,104,3,59,3,1
93783,2,2,3,104,2,68,4,1
93792,2,2,3,104,1,20,2,1
93792,2,2,3,104,3,59,3,1
93834,2,2,3,104,4,18,1,1
93852,2,2,4,104,2,68,4,1
93858,2,2,4,104,3,59,3,1
93880,2,2,4,104,1,20,2,1
93921,2,2,5,104,2,68,4,1
93924,2,2,5,104,3,59,3,1
93952,2,2,5,104,4,18,1,1
93968,2,2,6,104,1,20,2,1
93990,2,2,6,104,2,68,4,1
93990,2,2,6,104,3,59,3,1
94056,2,2,7,104,1,20,2,1
94056,2,2,7,104,3,59,3,1
94059,2,2,7,104,2,68,4,1
94070,2,2,7,104,4,18,1,1
94122,2,2,8,104,3,59,3,1
94128,2,2,8,104,2,68,4,1
94144,2,2,9,104,1,20,2,1
94188,2,2,9,104,3,59,3,1
94188,2,2,9,104,4,18,1,1
94197,2,2,9,104,2,68,4,1
94232,2,2,10,104,1,20,2,1
94254,2,2,10,104,3,59,3,1
94266,2,2,11,104,2,68,4,1
94306,2,2,11,104,4,18,1,1
94320,2,2,12,104,1,20,2,1
94320,2,2,12,104,3,59,3,1
94335,2,2,12,104,2,68,4,1
94386,2,2,13,104,3,59,3,1
94404,2,2,13,104,2,68,4,1
94408,2,2,13,104,1,20,2,1
94424,2,2,13,104,4,18,1,1
94452,2,2,14,104,3,59,3,1
94473,2,2,14,104,2,68,4,1
94496,2,2,14,104,1,20,2,1
94518,2,2,15,105,3,59,3,1
94542,2,2,15,105,2,68,4,1
94542,2,2,15,105,4,18,1,1
94584,2,2,16,105,1,20,2,1
94584,2,2,16,105,3,59,3,1
94611,2,2,16,105,2,68,4,1
94650,2,2,17,105,3,59,3,1
94660,2,2,17,105,4,18,1,1
94672,2,2,17,105,1,20,2,1
94680,2,2,18,105,2,68,4,1
94716,2,2,18,105,3,59,3,1
94749,2,2,19,105,2,68,4,1
94760,2,2,19,105,1,20,2,1
94778,2,2,19,105,4,18,1,1
94782,2,2,19,105,3,59,3,1
94818,2,2,20,105,2,68,4,1
94848,2,2,20,105,1,20,2,1
94848,2,2,20,105,3,59,3,1
94887,2,2,21,105,2,68,4,1
94896,2,2,21,105,4,18,1,1
94914,2,2,21,105,3,59,3,1
94936,2,2,22,105,1,20,2,1
94956,2,2,22,105,2,68,4,1
94980,2,2,23,105,3,59,3,1
95014,2,2,23,105,4,18,1,1
95024,2,2,23,105,1,20,2,1
95025,2,2,23,105,2,68,4,1
95046,2,2,24,105,3,59,3,1
95094,2,2,24,105,2,68,4,1
95112,2,2,25,105,1,20,2,1
95112,2,2,25,105,3,59,3,1
95132,2,2,25,105,4,18,1,1
95163,2,2,26,105,2,68,4,1
95178,2,2,26,105,3,59,3,1
95200,2,2,26,105,1,20,2,1
95232,2,2,27,105,2,68,4,1
95244,2,2,27,105,3,59,3,1
95250,2,2,27,105,4,18,1,1
95288,2,2,28,105,1,20,2,1
95301,2,2,28,105,2,68,4,1
95310,2,2,28,105,3,59,3,1
95368,2,2,29,105,4,18,1,1
95370,2,2,29,105,2,68,4,1
95376,2,2,29,105,1,20,2,1
95376,2,2,29,105,3,59,3,1
95439,2,2,30,106,2,68,4,1
95442,2,2,30,106,3,59,3,1
95464,2,2,31,106,1,20,2,1
95486,2,2,31,106,4,18,1,1
95508,2,2,31,106,2,68,4,1
95508,2,2,31,106,3,59,3,1
95552,2,2,32,106,1,20,2,1
95574,2,2,32,106,3,59,3,1
95577,2,2,32,106,2,68,4,1
95604,2,2,33,106,4,18,1,1
95640,2,2,34,106,1,20,2,1
95640,2,2,34,106,3,59,3,1
95646,2,2,34,106,2,68,4,1
95706,2,2,35,106,3,59,3,1
95715,2,2,35,106,2,68,4,1
95722,2,2,35,106,4,18,1,1
95728,2,2,35,106,1,20,2,1
95772,2,2,36,106,3,59,3,1
95784,2,2,36,106,2,68,4,1
95816,2,2,36,106,1,20,2,1
95838,2,2,37,106,3,59,3,1
95840,2,2,37,106,4,18,1,1
95853,2,2,37,106,2,68,4,1
95904,2,2,38,106,1,20,2,1
95904,2,2,38,106,3,59,3,1
95922,2,2,38,106,2,68,4,1
95958,2,2,39,106,4,18,1,1
95970,2,2,39,106,3,59,3,1
95991,2,2,39,106,2,68,4,1
95992,2,2,39,106,1,20,2,1
96036,2,2,40,106,3,59,3,1
96060,2,2,41,106,2,68,4,1
96076,2,2,41,106,4,18,1,1
96080,2,2,41,106,1,20,2,1
96102,2,2,41,106,3,59,3,1
96129,2,2,42,106,2,68,4,1
96168,2,2,42,106,1,20,2,1
96168,2,2,42,106,3,59,3,1
96194,2,2,43,106,4,18,1,1
96234,2,2,43,106,3,59,3,1
96256,2,2,44,106,1,20,2,1
96300,2,2,45,107,3,59,3,1
96312,2,2,45,107,4,18,1,1
96344,2,2,45,107,1,20,2,1
96366,2,2,46,107,3,59,3,1
96430,2,2,47,107,4,18,1,1
96432,2,2,47,107,1,20,2,1
96432,2,2,47,107,3,59,3,1
96498,2,2,48,107,3,59,3,1
96520,2,2,48,107,1,20,2,1
96548,2,2,49,107,4,18,1,1
96564,2,2,49,107,3,59,3,1
96608,2,2,50,107,1,20,2,1
96630,2,2,50,107,3,59,3,1
96666,2,2,51,107,4,18,1,1
96696,2,2,51,107,1,20,2,1
96696,2,2,51,107,3,59,3,1
96762,2,2,52,107,3,59,3,1
96784,2,2,53,107,1,20,2,1
96784,2,2,53,107,4,18,1,1
96828,2,2,53,107,3,59,3,1
96872,2,2,54,107,1,20,2,1
96894,2,2,54,107,3,59,3,1
96902,2,2,55,107,4,18,1,1
96960,2,2,56,107,1,20,2,1
96960,2,2,56,107,3,59,3,1
97020,2,2,57,107,4,18,1,1
97026,2,2,57,107,3,59,3,1
97048,2,2,57,107,1,20,2,1
97092,2,2,58,107,3,59,3,1
97136,2,2,58,107,1,20,2,1
97138,2,2,58,107,4,18,1,1
97158,2,2,59,107,3,59,3,1
97224,2,3,0,108,1,20,2,1
97224,2,3,0,108,3,59,3,1
97256,2,3,0,108,4,18,1,1
97290,2,3,1,108,3,59,3,1
97312,2,3,1,108,1,20,2,1
97356,2,3,2,108,3,59,3,1
97374,2,3,2,108,4,18,1,1
97400,2,3,3,108,1,20,2,1
97422,2,3,3,108,3,59,3,1
97488,2,3,4,108,1,20,2,1
97492,2,3,4,108,4,18,1,1
97576,2,3,6,108,1,20,2,1
97610,2,3,6,108,4,18,1,1
97664,2,3,7,108,1,20,2,1
97728,2,3,8,108,4,18,1,1
97752,2,3,9,108,1,20,2,1
97840,2,3,10,108,1,20,2,1
97846,2,3,10,108,4,18,1,1
97928,2,3,12,108,1,20,2,1
97964,2,3,12,108,4,18,1,1
98016,2,3,13,108,1,20,2,1
98082,2,3,14,108,4,18,1,1
98104,2,3,15,109,1,20,2,1
98192,2,3,16,109,1,20,2,1
98200,2,3,16,109,4,18,1,1
98280,2,3,18,109,1,20,2,1
98318,2,3,18,109,4,18,1,1
98368,2,3,19,109,1,20,2,1
98436,2,3,20,109,4,18,1,1
98456,2,3,20,109,1,20,2,1
98544,2,3,22,109,1,20,2,1
98554,2,3,22,109,4,18,1,1
98672,2,3,24,109,4,18,1,1
98790,2,3,26,109,4,18,1,1
98908,2,3,28,109,4,18,1,1
99026,2,3,30,110,4,18,1,1
99144,2,3,32,110,4,18,1,1
99262,2,3,34,110,4,18,1,1
99380,2,3,36,110,4,18,1,1
99498,2,3,38,110,4,18,1,1
99616,2,3,40,110,4,18,1,1
99734,2,3,42,110,4,18,1,1
99852,2,3,44,110,4,18,1,1
99970,2,3,46,111,4,18,1,1
100088,2,3,48,111,4,18,1,1
100206,2,3,50,111,4,18,1,1
100324,2,3,52,111,4,18,1,1
100442,2,3,54,111,4,18,1,1
100560,2,3,56,111,4,18,1,1
100678,2,3,57,111,4,18,1,1
100796,2,3,59,111,4,18,1,1
100914,2,4,1,112,4,18,1,1
101032,2,4,3,112,4,18,1,1
101150,2,4,5,112,4,18,1,1
101268,2,4,7,112,4,18,1,1
101386,2,4,9,112,4,18,1,1
101504,2,4,11,112,4,18,1,1
101622,2,4,13,112,4,18,1,1
101740,2,4,15,113,4,18,1,1
101858,2,4,17,113,4,18,1,1
101976,2,4,19,113,4,18,1,1
102094,2,4,21,113,4,18,1,1
102212,2,4,23,113,4,18,1,1
102330,2,4,25,113,4,18,1,1
102448,2,4,27,113,4,18,1,1
102566,2,4,29,113,4,18,1,1
102684,2,4,31,114,4,18,1,1
102802,2,4,33,114,4,18,1,1
102920,2,4,35,114,4,18,1,1
103038,2,4,37,114,4,18,1,1
103156,2,4,39,114,4,18,1,1
103274,2,4,41,114,4,18,1,1
103392,2,4,43,114,4,18,1,1
103510,2,4,45,115,4,18,1,1
103628,2,4,47,115,4,18,1,1
103746,2,4,49,115,4,18,1,1
103864,2,4,51,115,4,18,1,1
103982,2,4,53,115,4,18,1,1
104100,2,4,55,115,4,18,1,1
172872,3,0,1,192,2,8,5,2
172889,3,0,1,192,4,12,8,2
172897,3,0,1,192,1,10,6,2
172912,3,0,1,192,3,11,7,2
172944,3,0,2,192,2,8,5,2
172978,3,0,2,192,4,12,8,2
172994,3,0,3,192,1,10,6,2
173016,3,0,3,192,2,8,5,2
173024,3,0,3,192,3,11,7,2
173067,3,0,4,192,4,12,8,2
173088,3,0,4,192,2,8,5,2
173091,3,0,4,192,1,10,6,2
173136,3,0,5,192,3,11,7,2
173156,3,0,5,192,4,12,8,2
173160,3,0,6,192,2,8,5,2
173188,3,0,6,192,1,10,6,2
173232,3,0,7,192,2,8,5,2
173245,3,0,7,192,4,12,8,2
173248,3,0,7,192,3,11,7,2
173285,3,0,8,192,1,10,6,2
173334,3,0,8,192,4,12,8,2
173360,3,0,9,192,3,11,7,2
173382,3,0,9,192,1,10,6,2
173423,3,0,10,192,4,12,8,2
173472,3,0,11,192,3,11,7,2
173479,3,0,11,192,1,10,6,2
173512,3,0,11,192,4,12,8,2
173576,3,0,12,192,1,10,6,2
173584,3,0,13,192,3,11,7,2
173601,3,0,13,192,4,12,8,2
173687,3,0,14,192,1,17,9,2
173690,3,0,14,192,4,12,8,2
173696,3,0,14,192,3,11,7,2
173779,3,0,16,193,4,12,8,2
173798,3,0,16,193,1,17,9,2
173808,3,0,16,193,3,11,7,2
173868,3,0,17,193,4,12,8,2
173909,3,0,18,193,1,17,9,2
173920,3,0,18,193,3,11,7,2
173957,3,0,19,193,4,12,8,2
174020,3,0,20,193,1,17,9,2
174032,3,0,20,193,3,11,7,2
174046,3,0,20,193,4,12,8,2
174131,3,0,22,193,1,17,9,2
174135,3,0,22,193,4,12,8,2
174144,3,0,22,193,3,11,7,2
174224,3,0,23,193,4,12,8,2
174242,3,0,24,193,1,17,9,2
174256,3,0,24,193,3,11,7,2
174313,3,0,25,193,4,12,8,2
174353,3,0,25,193,1,17,9,2
174368,3,0,26,193,3,11,7,2
174402,3,0,26,193,4,12,8,2
174464,3,0,27,193,1,17,9,2
174480,3,0,28,193,3,11,7,2
174491,3,0,28,193,4,12,8,2
174575,3,0,29,193,1,17,9,2
174580,3,0,29,193,4,12,8,2
174592,3,0,29,193,3,11,7,2
174669,3,0,31,194,4,12,8,2
174686,3,0,31,194,1,17,9,2
174704,3,0,31,194,3,11,7,2
174758,3,0,32,194,4,12,8,2
174797,3,0,33,194,1,17,9,2
174816,3,0,33,194,3,11,7,2
174847,3,0,34,194,4,12,8,2
174908,3,0,35,194,1,17,9,2
174928,3,0,35,194,3,11,7,2
174936,3,0,35,194,4,12,8,2
175019,3,0,36,194,1,17,9,2
175025,3,0,37,194,4,12,8,2
175040,3,0,37,194,3,11,7,2
175114,3,0,38,194,4,12,8,2
175130,3,0,38,194,1,17,9,2
175152,3,0,39,194,3,11,7,2
175203,3,0,40,194,4,12,8,2
175241,3,0,40,194,1,17,9,2
175264,3,0,41,194,3,11,7,2
175292,3,0,41,194,4,12,8,2
175352,3,0,42,194,1,17,9,2
175376,3,0,42,194,3,11,7,2
175381,3,0,43,194,4,12,8,2
175463,3,0,44,194,1,17,9,2
175470,3,0,44,194,4,12,8,2
175488,3,0,44,194,3,11,7,2
175559,3,0,45,195,4,12,8,2
175574,3,0,46,195,1,17,9,2
175600,3,0,46,195,3,11,7,2
175648,3,0,47,195,4,12,8,2
175685,3,0,48,195,1,17,9,2
175712,3,0,48,195,3,11,7,2
175737,3,0,48,195,4,12,8,2
175796,3,0,49,195,1,17,9,2
175824,3,0,50,195,3,11,7,2
175826,3,0,50,195,4,12,8,2
175907,3,0,51,195,1,17,9,2
175915,3,0,51,195,4,12,8,2
175936,3,0,52,195,3,11,7,2
176004,3,0,53,195,4,12,8,2
176018,3,0,53,195,1,17,9,2
176048,3,0,54,195,3,11,7,2
176093,3,0,54,195,4,12,8,2
176129,3,0,55,195,1,17,9,2
176160,3,0,56,195,3,11,7,2
176182,3,0,56,195,4,12,8,2
176240,3,0,57,195,1,17,9,2
176271,3,0,57,195,4,12,8,2
176272,3,0,57,195,3,11,7,2
176351,3,0,59,195,1,17,9,2
176360,3,0,59,195,4,12,8,2
176384,3,0,59,195,3,11,7,2
176449,3,1,0,196,4,12,8,2
176462,3,1,1,196,1,17,9,2
176496,3,1,1,196,3,11,7,2
176538,3,1,2,196,4,12,8,2
176573,3,1,2,196,1,17,9,2
176608,3,1,3,196,3,11,7,2
176627,3,1,3,196,4,12,8,2
176684,3,1,4,196,1,17,9,2
176716,3,1,5,196,4,12,8,2
176727,3,1,5,196,3,18,10,2
176795,3,1,6,196,1,17,9,2
176805,3,1,6,196,4,12,8,2
176846,3,1,7,196,3,18,10,2
176894,3,1,8,196,4,12,8,2
176906,3,1,8,196,1,17,9,2
176965,3,1,9,196,3,18,10,2
176983,3,1,9,196,4,12,8,2
177017,3,1,10,196,1,17,9,2
177072,3,1,11,196,4,12,8,2
177084,3,1,11,196,3,18,10,2
177128,3,1,12,196,1,17,9,2
177161,3,1,12,196,4,12,8,2
177203,3,1,13,196,3,18,10,2
177239,3,1,13,196,1,17,9,2
177250,3,1,14,196,4,12,8,2
177322,3,1,15,197,3,18,10,2
